"","value","L1"
"A1BG","A1BG",1
"ABCA1","ABCA1",1
"ACAD11","ACAD11",1
"ACOT13","ACOT13",1
"ACOX1","ACOX1",1
"ACTR1A","ACTR1A",1
"ACVR2A","ACVR2A",1
"ADAM22","ADAM22",1
"ADCY5","ADCY5",1
"ADSS","ADSS",1
"AGK","AGK",1
"AIRE","AIRE",1
"AKIRIN2","AKIRIN2",1
"AMN1","AMN1",1
"ANAPC11","ANAPC11",1
"ANKRD6","ANKRD6",1
"ANXA4","ANXA4",1
"ANXA9","ANXA9",1
"AP2A1","AP2A1",1
"AP3D1","AP3D1",1
"APBB1IP","APBB1IP",1
"ARAF","ARAF",1
"ARHGAP4","ARHGAP4",1
"ARHGEF3","ARHGEF3",1
"ARID1A","ARID1A",1
"ARL13B","ARL13B",1
"ARL6IP5","ARL6IP5",1
"ARMC5","ARMC5",1
"ASAP2","ASAP2",1
"ASCC2","ASCC2",1
"ASIC3","ASIC3",1
"ATL1","ATL1",1
"ATXN7L3","ATXN7L3",1
"ATXN7L3B","ATXN7L3B",1
"BACE1","BACE1",1
"BBIP1","BBIP1",1
"BCL10","BCL10",1
"BCL7C","BCL7C",1
"BLOC1S6","BLOC1S6",1
"BMP8B","BMP8B",1
"BRE-AS1","BRE-AS1",1
"BRI3","BRI3",1
"BTBD1","BTBD1",1
"C10orf55","C10orf55",1
"C14orf182","C14orf182",1
"C19orf44","C19orf44",1
"C19orf66","C19orf66",1
"C1RL","C1RL",1
"C1orf192","C1orf192",1
"C21orf140","C21orf140",1
"C6orf62","C6orf62",1
"CACYBP","CACYBP",1
"CALHM2","CALHM2",1
"CAPZA1","CAPZA1",1
"CASKIN2","CASKIN2",1
"CBFB","CBFB",1
"CBY3","CBY3",1
"CCDC101","CCDC101",1
"CCDC117","CCDC117",1
"CCDC38","CCDC38",1
"CCDC39","CCDC39",1
"CCDC66","CCDC66",1
"CCDC69","CCDC69",1
"CCDC88A","CCDC88A",1
"CCNE2","CCNE2",1
"CCNG1","CCNG1",1
"CCT6P1","CCT6P1",1
"CD74","CD74",1
"CD97","CD97",1
"CDKL1","CDKL1",1
"CDKN2C","CDKN2C",1
"CELF2","CELF2",1
"CELF3","CELF3",1
"CEP290","CEP290",1
"CHMP2A","CHMP2A",1
"CHRM5","CHRM5",1
"CIPC","CIPC",1
"CLCN2","CLCN2",1
"CLK3","CLK3",1
"CLMP","CLMP",1
"CLTC","CLTC",1
"CMPK2","CMPK2",1
"CNOT2","CNOT2",1
"CNPY2","CNPY2",1
"COG8","COG8",1
"COPS3","COPS3",1
"CPSF4","CPSF4",1
"CPSF4L","CPSF4L",1
"CPT2","CPT2",1
"CRBN","CRBN",1
"CSRNP2","CSRNP2",1
"CTC-338M12.4","CTC-338M12.4",1
"CTDSPL2","CTDSPL2",1
"CYFIP2","CYFIP2",1
"CYP3A4","CYP3A4",1
"DBNL","DBNL",1
"DDOST","DDOST",1
"DGUOK","DGUOK",1
"DHRS4L2","DHRS4L2",1
"DHX16","DHX16",1
"DIS3L","DIS3L",1
"DNAAF1","DNAAF1",1
"DNAJC21","DNAJC21",1
"DNAJC7","DNAJC7",1
"DNM1L","DNM1L",1
"DOCK3","DOCK3",1
"DPH3P1","DPH3P1",1
"EIF1B-AS1","EIF1B-AS1",1
"EIF2AK3","EIF2AK3",1
"EIF2B4","EIF2B4",1
"EIF4E3","EIF4E3",1
"EMC6","EMC6",1
"EMC9","EMC9",1
"ENO1","ENO1",1
"ERBB2","ERBB2",1
"FAHD2CP","FAHD2CP",1
"FAM134A","FAM134A",1
"FAM149B1","FAM149B1",1
"FAM166A","FAM166A",1
"FAM177A1","FAM177A1",1
"FAM200B","FAM200B",1
"FAM227B","FAM227B",1
"FAM78A","FAM78A",1
"FAM92A1","FAM92A1",1
"FBXL19","FBXL19",1
"FBXO11","FBXO11",1
"FBXO41","FBXO41",1
"FLJ30403","FLJ30403",1
"FMR1","FMR1",1
"FNBP1","FNBP1",1
"FNDC3A","FNDC3A",1
"FNDC5","FNDC5",1
"FSIP2","FSIP2",1
"FSTL3","FSTL3",1
"FXR1","FXR1",1
"FYN","FYN",1
"GADD45B","GADD45B",1
"GANAB","GANAB",1
"GAPDHS","GAPDHS",1
"GAS2","GAS2",1
"GBP5","GBP5",1
"GGA2","GGA2",1
"GIT2","GIT2",1
"GJD3","GJD3",1
"GLB1","GLB1",1
"GLTPD2","GLTPD2",1
"GOLGA3","GOLGA3",1
"GPSM2","GPSM2",1
"H2AFY","H2AFY",1
"HAUS4","HAUS4",1
"HAUS6","HAUS6",1
"HCFC2","HCFC2",1
"HCP5","HCP5",1
"HCST","HCST",1
"HDGFRP2","HDGFRP2",1
"HERC6","HERC6",1
"HLA-DPB1","HLA-DPB1",1
"HLA-F","HLA-F",1
"HLA-F-AS1","HLA-F-AS1",1
"HMGN1","HMGN1",1
"HNRNPH3","HNRNPH3",1
"HNRNPUL1","HNRNPUL1",1
"HOXA3","HOXA3",1
"HOXB3","HOXB3",1
"HSPA4","HSPA4",1
"IER2","IER2",1
"IFITM1","IFITM1",1
"IGFBP7","IGFBP7",1
"IL12A-AS1","IL12A-AS1",1
"IMMP1L","IMMP1L",1
"INCA1","INCA1",1
"INE2","INE2",1
"INHBE","INHBE",1
"INPP5F","INPP5F",1
"INSIG1","INSIG1",1
"IRF2BP2","IRF2BP2",1
"JMJD1C","JMJD1C",1
"KCNAB2","KCNAB2",1
"KCTD21","KCTD21",1
"KIAA0391","KIAA0391",1
"KIF20A","KIF20A",1
"KIF2A","KIF2A",1
"KLC1","KLC1",1
"KLF13","KLF13",1
"KLF3","KLF3",1
"KRAS","KRAS",1
"LGALS1","LGALS1",1
"LINC-PINT","LINC-PINT",1
"LINC00152","LINC00152",1
"LINC00167","LINC00167",1
"LINC00539","LINC00539",1
"LINC00957","LINC00957",1
"LINC00987","LINC00987",1
"LINC01004","LINC01004",1
"LINC01023","LINC01023",1
"LINC01260","LINC01260",1
"LMOD3","LMOD3",1
"LOC100127888","LOC100127888",1
"LOC100128176","LOC100128176",1
"LOC100130992","LOC100130992",1
"LOC100132891","LOC100132891",1
"LOC100507557","LOC100507557",1
"LOC101927021","LOC101927021",1
"LOC101928043","LOC101928043",1
"LOC101929608","LOC101929608",1
"LOC285593","LOC285593",1
"LOC646626","LOC646626",1
"LOXL2","LOXL2",1
"LRIF1","LRIF1",1
"LRRC34","LRRC34",1
"LRRC37A3","LRRC37A3",1
"LRRC37A4P","LRRC37A4P",1
"LRRC39","LRRC39",1
"LRWD1","LRWD1",1
"LTB","LTB",1
"LZTR1","LZTR1",1
"M1AP","M1AP",1
"MAGIX","MAGIX",1
"MAPK6","MAPK6",1
"MAU2","MAU2",1
"MBOAT7","MBOAT7",1
"MCM7","MCM7",1
"MCTS1","MCTS1",1
"MED1","MED1",1
"MED17","MED17",1
"MEF2A","MEF2A",1
"MEPCE","MEPCE",1
"MICA","MICA",1
"MIR1279","MIR1279",1
"MIR4273","MIR4273",1
"MKRN2OS","MKRN2OS",1
"MMP24","MMP24",1
"MORF4L2","MORF4L2",1
"MPHOSPH8","MPHOSPH8",1
"MTMR3","MTMR3",1
"MTO1","MTO1",1
"MTSS1","MTSS1",1
"MYBBP1A","MYBBP1A",1
"MYOM1","MYOM1",1
"MYOT","MYOT",1
"NBN","NBN",1
"NDUFAF3","NDUFAF3",1
"NDUFB6","NDUFB6",1
"NEDD9","NEDD9",1
"NEURL2","NEURL2",1
"NHSL1","NHSL1",1
"NMT2","NMT2",1
"NRM","NRM",1
"NSG1","NSG1",1
"OGFOD2","OGFOD2",1
"OR10G2","OR10G2",1
"OR2H2","OR2H2",1
"OSCAR","OSCAR",1
"OSGEPL1-AS1","OSGEPL1-AS1",1
"OSGIN2","OSGIN2",1
"PAAF1","PAAF1",1
"PAICS","PAICS",1
"PARP10","PARP10",1
"PCNX","PCNX",1
"PCSK6","PCSK6",1
"PDCD2","PDCD2",1
"PDE8B","PDE8B",1
"PDSS1","PDSS1",1
"PEF1","PEF1",1
"PHF12","PHF12",1
"PHF3","PHF3",1
"PI4KB","PI4KB",1
"PIANP","PIANP",1
"PIAS1","PIAS1",1
"PIK3R1","PIK3R1",1
"PIP4K2B","PIP4K2B",1
"PKD1L3","PKD1L3",1
"PLAT","PLAT",1
"PLK3","PLK3",1
"PLXDC1","PLXDC1",1
"PMEL","PMEL",1
"PNPLA6","PNPLA6",1
"PNPT1","PNPT1",1
"POLR3C","POLR3C",1
"POM121","POM121",1
"POM121C","POM121C",1
"POMZP3","POMZP3",1
"PPAT","PPAT",1
"PPIE","PPIE",1
"PPM1M","PPM1M",1
"PPP1R18","PPP1R18",1
"PPP2R5A","PPP2R5A",1
"PPP3R1","PPP3R1",1
"PRC1","PRC1",1
"PRICKLE4","PRICKLE4",1
"PRKAA1","PRKAA1",1
"PRODH","PRODH",1
"PROZ","PROZ",1
"PRPF39","PRPF39",1
"PRRC2B","PRRC2B",1
"PSMD6-AS2","PSMD6-AS2",1
"PSME1","PSME1",1
"PTGER4","PTGER4",1
"PTGR1","PTGR1",1
"PTGR2","PTGR2",1
"PTP4A1","PTP4A1",1
"PUS3","PUS3",1
"PVRL2","PVRL2",1
"PWP1","PWP1",1
"PWWP2A","PWWP2A",1
"RAB11FIP3","RAB11FIP3",1
"RAB6A","RAB6A",1
"RABEP1","RABEP1",1
"RABL2B","RABL2B",1
"RAP2C","RAP2C",1
"RARB","RARB",1
"RASAL3","RASAL3",1
"RASGRP4","RASGRP4",1
"RBCK1","RBCK1",1
"RBM12B-AS1","RBM12B-AS1",1
"RBM27","RBM27",1
"RBM33","RBM33",1
"RBM4","RBM4",1
"RFC4","RFC4",1
"RFC5","RFC5",1
"RHOC","RHOC",1
"RINL","RINL",1
"RNF10","RNF10",1
"RNF6","RNF6",1
"RPA3OS","RPA3OS",1
"RPL12","RPL12",1
"RPL23","RPL23",1
"RPL32","RPL32",1
"RPL36AL","RPL36AL",1
"RPL7A","RPL7A",1
"RPP38","RPP38",1
"RPS19","RPS19",1
"RRBP1","RRBP1",1
"RSPH9","RSPH9",1
"SCAF4","SCAF4",1
"SCAI","SCAI",1
"SCAND1","SCAND1",1
"SCAND2P","SCAND2P",1
"SCN5A","SCN5A",1
"SDR39U1","SDR39U1",1
"SEC61A2","SEC61A2",1
"SEMA4G","SEMA4G",1
"SERINC4","SERINC4",1
"SGTB","SGTB",1
"SIN3A","SIN3A",1
"SKA2","SKA2",1
"SLC11A1","SLC11A1",1
"SLC22A23","SLC22A23",1
"SLC25A30-AS1","SLC25A30-AS1",1
"SLC25A32","SLC25A32",1
"SLC35E2","SLC35E2",1
"SLC35E2B","SLC35E2B",1
"SLC39A7","SLC39A7",1
"SMAP2","SMAP2",1
"SMARCD3","SMARCD3",1
"SMC4","SMC4",1
"SMPD3","SMPD3",1
"SNIP1","SNIP1",1
"SNORA65","SNORA65",1
"SNRNP200","SNRNP200",1
"SNRNP35","SNRNP35",1
"SNTA1","SNTA1",1
"SNX1","SNX1",1
"SOCS3","SOCS3",1
"SORL1","SORL1",1
"SPA17","SPA17",1
"SPAG8","SPAG8",1
"SPAG9","SPAG9",1
"SPATC1","SPATC1",1
"SRCRB4D","SRCRB4D",1
"SRPK2","SRPK2",1
"SRRM1","SRRM1",1
"SSSCA1-AS1","SSSCA1-AS1",1
"ST3GAL1","ST3GAL1",1
"STAT5A","STAT5A",1
"STAU1","STAU1",1
"SUGP2","SUGP2",1
"SYCE2","SYCE2",1
"SYNGAP1","SYNGAP1",1
"SYVN1","SYVN1",1
"TAOK3","TAOK3",1
"TAPBPL","TAPBPL",1
"TBC1D5","TBC1D5",1
"TBX1","TBX1",1
"TCF25","TCF25",1
"TESK2","TESK2",1
"TEX2","TEX2",1
"TGFBR2","TGFBR2",1
"THAP8","THAP8",1
"THOC1","THOC1",1
"THOC2","THOC2",1
"THUMPD3","THUMPD3",1
"TIPARP-AS1","TIPARP-AS1",1
"TJP3","TJP3",1
"TMA7","TMA7",1
"TMED10","TMED10",1
"TMEM107","TMEM107",1
"TMEM126A","TMEM126A",1
"TMEM184C","TMEM184C",1
"TMEM191A","TMEM191A",1
"TMEM262","TMEM262",1
"TMEM44","TMEM44",1
"TMEM62","TMEM62",1
"TNFRSF10B","TNFRSF10B",1
"TNRC18","TNRC18",1
"TOP1","TOP1",1
"TRAPPC13","TRAPPC13",1
"TRAPPC8","TRAPPC8",1
"TRIM22","TRIM22",1
"TRIM23","TRIM23",1
"TRIM41","TRIM41",1
"TRIM59","TRIM59",1
"TRIM8","TRIM8",1
"TRIP11","TRIP11",1
"TRMT10B","TRMT10B",1
"TRNT1","TRNT1",1
"TROVE2","TROVE2",1
"TSC22D1","TSC22D1",1
"TSIX","TSIX",1
"TSPAN31","TSPAN31",1
"TSPAN32","TSPAN32",1
"TTC1","TTC1",1
"TTC18","TTC18",1
"TUBA4B","TUBA4B",1
"TUBGCP2","TUBGCP2",1
"TUG1","TUG1",1
"TUT1","TUT1",1
"TXNDC12","TXNDC12",1
"TYROBP","TYROBP",1
"UBE2B","UBE2B",1
"UBE2G1","UBE2G1",1
"UFC1","UFC1",1
"UGGT1","UGGT1",1
"UPP1","UPP1",1
"USP24","USP24",1
"USP54","USP54",1
"UST","UST",1
"VCPIP1","VCPIP1",1
"VPS33B","VPS33B",1
"VSIG10","VSIG10",1
"WDR26","WDR26",1
"WDR55","WDR55",1
"WIBG","WIBG",1
"WNK1","WNK1",1
"WWP1","WWP1",1
"XIAP","XIAP",1
"XPO1","XPO1",1
"XPO4","XPO4",1
"YY1AP1","YY1AP1",1
"ZC3H12B","ZC3H12B",1
"ZFP28","ZFP28",1
"ZFP36L2","ZFP36L2",1
"ZFP91","ZFP91",1
"ZFYVE16","ZFYVE16",1
"ZHX1","ZHX1",1
"ZNF140","ZNF140",1
"ZNF165","ZNF165",1
"ZNF175","ZNF175",1
"ZNF436","ZNF436",1
"ZNF445","ZNF445",1
"ZNF45","ZNF45",1
"ZNF529","ZNF529",1
"ZNF542P","ZNF542P",1
"ZNF562","ZNF562",1
"ZNF586","ZNF586",1
"ZNF654","ZNF654",1
"ZNF672","ZNF672",1
"ZRANB2-AS1","ZRANB2-AS1",1
"ZSCAN22","ZSCAN22",1
"ZSCAN30","ZSCAN30",1
"A1BG-AS1","A1BG-AS1",2
"ABLIM1","ABLIM1",2
"ACD","ACD",2
"ACTN1","ACTN1",2
"ADAM17","ADAM17",2
"ADH6","ADH6",2
"AGFG2","AGFG2",2
"AHDC1","AHDC1",2
"AIM1","AIM1",2
"ALOX12B","ALOX12B",2
"ALS2CR11","ALS2CR11",2
"ALX3","ALX3",2
"AMDHD2","AMDHD2",2
"ANKRD34A","ANKRD34A",2
"ANO8","ANO8",2
"ARHGEF18","ARHGEF18",2
"ARHGEF4","ARHGEF4",2
"ATP6V0E2","ATP6V0E2",2
"BCDIN3D","BCDIN3D",2
"BUD31","BUD31",2
"C16orf58","C16orf58",2
"C17orf100","C17orf100",2
"C17orf50","C17orf50",2
"C1orf204","C1orf204",2
"CACNA1C","CACNA1C",2
"CACNA2D2","CACNA2D2",2
"CACTIN","CACTIN",2
"CALM3","CALM3",2
"CCDC175","CCDC175",2
"CCDC78","CCDC78",2
"CCNF","CCNF",2
"CDC16","CDC16",2
"CDC42BPB","CDC42BPB",2
"CDC42SE1","CDC42SE1",2
"CENPV","CENPV",2
"CEPT1","CEPT1",2
"CERKL","CERKL",2
"CHD7","CHD7",2
"CLIP3","CLIP3",2
"CLN8","CLN8",2
"CLPP","CLPP",2
"CLU","CLU",2
"COA1","COA1",2
"CPSF3L","CPSF3L",2
"CUL7","CUL7",2
"CUL9","CUL9",2
"CYP2R1","CYP2R1",2
"DAAM2","DAAM2",2
"DARS","DARS",2
"DBH","DBH",2
"DICER1","DICER1",2
"DLGAP4","DLGAP4",2
"DNASE1","DNASE1",2
"DPP4","DPP4",2
"DUSP28","DUSP28",2
"ENG","ENG",2
"ENOSF1","ENOSF1",2
"EPHX1","EPHX1",2
"FANCA","FANCA",2
"FANCL","FANCL",2
"FCGR3A","FCGR3A",2
"FMNL1","FMNL1",2
"FMNL3","FMNL3",2
"FNDC8","FNDC8",2
"GATAD1","GATAD1",2
"GATS","GATS",2
"GGNBP1","GGNBP1",2
"GLIPR2","GLIPR2",2
"GLT8D1","GLT8D1",2
"GNPNAT1","GNPNAT1",2
"GPATCH4","GPATCH4",2
"GPR150","GPR150",2
"HADHA","HADHA",2
"HDAC7","HDAC7",2
"HEATR2","HEATR2",2
"HIRIP3","HIRIP3",2
"HMGN3","HMGN3",2
"ICAM2","ICAM2",2
"IFITM3","IFITM3",2
"IFT46","IFT46",2
"INTS8","INTS8",2
"ITFG2","ITFG2",2
"KAT5","KAT5",2
"KBTBD4","KBTBD4",2
"KDM4A","KDM4A",2
"KPNA1","KPNA1",2
"LCORL","LCORL",2
"LOC100131347","LOC100131347",2
"LOC101927950","LOC101927950",2
"LOC101928053","LOC101928053",2
"LOC101928378","LOC101928378",2
"LRRC24","LRRC24",2
"LRRC47","LRRC47",2
"MAGOH2","MAGOH2",2
"MAP3K14","MAP3K14",2
"MAPK8IP3","MAPK8IP3",2
"MCM3AP","MCM3AP",2
"METTL20","METTL20",2
"MFSD6","MFSD6",2
"MIR4520B","MIR4520B",2
"MIR6723","MIR6723",2
"MORC2-AS1","MORC2-AS1",2
"MRPL19","MRPL19",2
"MRPL43","MRPL43",2
"MTHFD1","MTHFD1",2
"MYO15B","MYO15B",2
"MYO1H","MYO1H",2
"MYO9B","MYO9B",2
"NDUFS7","NDUFS7",2
"NEK4","NEK4",2
"NFKBIL1","NFKBIL1",2
"NINJ2","NINJ2",2
"NR1I3","NR1I3",2
"NTSR1","NTSR1",2
"NXN","NXN",2
"OBSCN","OBSCN",2
"OGFOD1","OGFOD1",2
"ORC4","ORC4",2
"OSBP2","OSBP2",2
"PAPD5","PAPD5",2
"PAXIP1OS","PAXIP1OS",2
"PCF11","PCF11",2
"PCOLCE","PCOLCE",2
"PCOLCE-AS1","PCOLCE-AS1",2
"PDE3B","PDE3B",2
"PDE5A","PDE5A",2
"PFN1P2","PFN1P2",2
"PIEZO1","PIEZO1",2
"PIGF","PIGF",2
"PITPNM2","PITPNM2",2
"PKMYT1","PKMYT1",2
"PNPLA7","PNPLA7",2
"POM121L10P","POM121L10P",2
"PPP2R2D","PPP2R2D",2
"PPP6R2","PPP6R2",2
"PPT2","PPT2",2
"PRC1-AS1","PRC1-AS1",2
"PTK6","PTK6",2
"PTPRCAP","PTPRCAP",2
"PTPRK","PTPRK",2
"PXN","PXN",2
"RAB14","RAB14",2
"RAE1","RAE1",2
"RAP1A","RAP1A",2
"RASA4B","RASA4B",2
"RASA4CP","RASA4CP",2
"RBBP4","RBBP4",2
"RCAN3","RCAN3",2
"RFTN1","RFTN1",2
"RILPL2","RILPL2",2
"RNF214","RNF214",2
"ROM1","ROM1",2
"RPL4","RPL4",2
"RPS18","RPS18",2
"RPS6KA5","RPS6KA5",2
"RPS6KB1","RPS6KB1",2
"RSPH3","RSPH3",2
"SERHL2","SERHL2",2
"SH2D3C","SH2D3C",2
"SLAMF8","SLAMF8",2
"SLC16A11","SLC16A11",2
"SLC16A3","SLC16A3",2
"SLC20A1","SLC20A1",2
"SLC25A4","SLC25A4",2
"SLC29A2","SLC29A2",2
"SLC4A5","SLC4A5",2
"SLC5A2","SLC5A2",2
"SLC7A6OS","SLC7A6OS",2
"SLC9A3","SLC9A3",2
"SMG1P3","SMG1P3",2
"SPNS1","SPNS1",2
"SRMS","SRMS",2
"SRRT","SRRT",2
"STK38L","STK38L",2
"STRADA","STRADA",2
"SYNGR1","SYNGR1",2
"TCF7","TCF7",2
"THAP11","THAP11",2
"TMC6","TMC6",2
"TMC8","TMC8",2
"TMEM108","TMEM108",2
"TMEM121","TMEM121",2
"TMEM220","TMEM220",2
"TMEM223","TMEM223",2
"TOR1AIP1","TOR1AIP1",2
"TRIP10","TRIP10",2
"TRPA1","TRPA1",2
"TSEN54","TSEN54",2
"TSTD2","TSTD2",2
"UFD1L","UFD1L",2
"UFSP2","UFSP2",2
"VPS53","VPS53",2
"VPS9D1","VPS9D1",2
"WDR52-AS1","WDR52-AS1",2
"WNK4","WNK4",2
"XRRA1","XRRA1",2
"ZBTB45","ZBTB45",2
"ZBTB46","ZBTB46",2
"ZBTB7A","ZBTB7A",2
"ZC3H3","ZC3H3",2
"ZC3HAV1","ZC3HAV1",2
"ZGPAT","ZGPAT",2
"ZNF181","ZNF181",2
"ZNF862","ZNF862",2
"ZSCAN32","ZSCAN32",2
"ZSWIM1","ZSWIM1",2
"ZYX","ZYX",2
"A2M","A2M",3
"AAMDC","AAMDC",3
"ABCA7","ABCA7",3
"ABCC6","ABCC6",3
"ABCF1","ABCF1",3
"ABHD12","ABHD12",3
"ABR","ABR",3
"ACAN","ACAN",3
"ACKR4","ACKR4",3
"ACO1","ACO1",3
"ACTA2","ACTA2",3
"ACTL10","ACTL10",3
"ACTL6A","ACTL6A",3
"ADCK2","ADCK2",3
"ADIRF","ADIRF",3
"ADNP","ADNP",3
"AFF4","AFF4",3
"AGBL5","AGBL5",3
"AHNAK2","AHNAK2",3
"AHSA2","AHSA2",3
"AIM1L","AIM1L",3
"AKAP7","AKAP7",3
"AKAP9","AKAP9",3
"AKR7A2P1","AKR7A2P1",3
"AKT3","AKT3",3
"ALAS2","ALAS2",3
"ALDH16A1","ALDH16A1",3
"ALG1","ALG1",3
"ALKBH3-AS1","ALKBH3-AS1",3
"ALOX12P2","ALOX12P2",3
"AMIGO3","AMIGO3",3
"AMMECR1","AMMECR1",3
"AMPD3","AMPD3",3
"AMT","AMT",3
"ANGPTL1","ANGPTL1",3
"ANKFY1","ANKFY1",3
"ANKH","ANKH",3
"ANKRD23","ANKRD23",3
"ANKRD28","ANKRD28",3
"ANKRD61","ANKRD61",3
"ANKS3","ANKS3",3
"ANKZF1","ANKZF1",3
"ANO6","ANO6",3
"ANO9","ANO9",3
"AP1G2","AP1G2",3
"APEX1","APEX1",3
"APOBEC2","APOBEC2",3
"APOL6","APOL6",3
"ARF4","ARF4",3
"ARG1","ARG1",3
"ARHGAP1","ARHGAP1",3
"ARHGAP9","ARHGAP9",3
"ARL6IP4","ARL6IP4",3
"ARMC2-AS1","ARMC2-AS1",3
"ARR3","ARR3",3
"ARRDC3-AS1","ARRDC3-AS1",3
"ASB6","ASB6",3
"ASB8","ASB8",3
"ASH1L","ASH1L",3
"ASPDH","ASPDH",3
"ASPHD2","ASPHD2",3
"ATM","ATM",3
"ATP11A-AS1","ATP11A-AS1",3
"ATP11B","ATP11B",3
"ATP2B1","ATP2B1",3
"ATP5S","ATP5S",3
"ATPIF1","ATPIF1",3
"ATRIP","ATRIP",3
"AVIL","AVIL",3
"B3GAT2","B3GAT2",3
"B4GALT3","B4GALT3",3
"B4GALT7","B4GALT7",3
"BAIAP2L2","BAIAP2L2",3
"BAIAP3","BAIAP3",3
"BANK1","BANK1",3
"BCL2L13","BCL2L13",3
"BEND3P3","BEND3P3",3
"BOK","BOK",3
"BOP1","BOP1",3
"BRD4","BRD4",3
"BRIX1","BRIX1",3
"BTAF1","BTAF1",3
"BTBD18","BTBD18",3
"BTBD9","BTBD9",3
"C11orf49","C11orf49",3
"C11orf57","C11orf57",3
"C12orf71","C12orf71",3
"C12orf76","C12orf76",3
"C15orf37","C15orf37",3
"C16orf3","C16orf3",3
"C17orf103","C17orf103",3
"C17orf97","C17orf97",3
"C19orf10","C19orf10",3
"C19orf35","C19orf35",3
"C1QL3","C1QL3",3
"C20orf144","C20orf144",3
"C22orf15","C22orf15",3
"C22orf39","C22orf39",3
"C3orf49","C3orf49",3
"C5orf34","C5orf34",3
"C9orf114","C9orf114",3
"C9orf131","C9orf131",3
"CA11","CA11",3
"CAMK2G","CAMK2G",3
"CAPN1","CAPN1",3
"CAPN2","CAPN2",3
"CASP8AP2","CASP8AP2",3
"CBLL1","CBLL1",3
"CC2D2B","CC2D2B",3
"CCDC137","CCDC137",3
"CCDC183-AS1","CCDC183-AS1",3
"CCDC90B","CCDC90B",3
"CCDC97","CCDC97",3
"CCNC","CCNC",3
"CCNDBP1","CCNDBP1",3
"CCNH","CCNH",3
"CCNT2","CCNT2",3
"CCRN4L","CCRN4L",3
"CDC37L1","CDC37L1",3
"CDC42EP3","CDC42EP3",3
"CDH20","CDH20",3
"CDH4","CDH4",3
"CDHR5","CDHR5",3
"CEACAM1","CEACAM1",3
"CEND1","CEND1",3
"CENPN","CENPN",3
"CENPO","CENPO",3
"CENPT","CENPT",3
"CHRNB2","CHRNB2",3
"CHRNG","CHRNG",3
"CIR1","CIR1",3
"CKMT2","CKMT2",3
"CLDN20","CLDN20",3
"CLDND2","CLDND2",3
"CLUH","CLUH",3
"CMTR1","CMTR1",3
"CNPY4","CNPY4",3
"CNTNAP1","CNTNAP1",3
"COCH","COCH",3
"COL10A1","COL10A1",3
"COL4A3","COL4A3",3
"COL9A3","COL9A3",3
"COPB2","COPB2",3
"COPG2","COPG2",3
"COPS4","COPS4",3
"COQ4","COQ4",3
"COX7A1","COX7A1",3
"CPSF7","CPSF7",3
"CREB3L4","CREB3L4",3
"CREBL2","CREBL2",3
"CRHR2","CRHR2",3
"CRYBA1","CRYBA1",3
"CSK","CSK",3
"CSNK1G2-AS1","CSNK1G2-AS1",3
"CSPP1","CSPP1",3
"CSTF3","CSTF3",3
"CTB-113P19.1","CTB-113P19.1",3
"CTNNB1","CTNNB1",3
"CTRL","CTRL",3
"CTSB","CTSB",3
"CTSH","CTSH",3
"CTSW","CTSW",3
"CXCR6","CXCR6",3
"CYB5D1","CYB5D1",3
"CYB5D2","CYB5D2",3
"CYB5R2","CYB5R2",3
"CYP2A6","CYP2A6",3
"CYP2W1","CYP2W1",3
"CYP3A5","CYP3A5",3
"CYP51A1","CYP51A1",3
"DACT3-AS1","DACT3-AS1",3
"DBP","DBP",3
"DCAF10","DCAF10",3
"DCLRE1A","DCLRE1A",3
"DCP2","DCP2",3
"DCST2","DCST2",3
"DDA1","DDA1",3
"DDX19A","DDX19A",3
"DDX20","DDX20",3
"DENND2D","DENND2D",3
"DGAT1","DGAT1",3
"DGCR10","DGCR10",3
"DGCR5","DGCR5",3
"DGKD","DGKD",3
"DHDDS","DHDDS",3
"DHRS7","DHRS7",3
"DLEU1","DLEU1",3
"DLG3-AS1","DLG3-AS1",3
"DNAH14","DNAH14",3
"DNAJA3","DNAJA3",3
"DNAJA4","DNAJA4",3
"DNAJB14","DNAJB14",3
"DNHD1","DNHD1",3
"DNM3","DNM3",3
"DOK4","DOK4",3
"DOK6","DOK6",3
"DPCD","DPCD",3
"DPH5","DPH5",3
"DUSP16","DUSP16",3
"DYNC1I2","DYNC1I2",3
"EAF1","EAF1",3
"EFCAB13","EFCAB13",3
"EFCAB2","EFCAB2",3
"EHD1","EHD1",3
"EIF2D","EIF2D",3
"EIF2S2","EIF2S2",3
"ELK3","ELK3",3
"ELMO3","ELMO3",3
"EML3","EML3",3
"ENAM","ENAM",3
"ENKD1","ENKD1",3
"ENTPD8","ENTPD8",3
"EP400","EP400",3
"EPN3","EPN3",3
"EPS15L1","EPS15L1",3
"ERP44","ERP44",3
"ERRFI1","ERRFI1",3
"ERVK13-1","ERVK13-1",3
"ESR2","ESR2",3
"EVA1B","EVA1B",3
"EXOC1","EXOC1",3
"EYS","EYS",3
"EZH2","EZH2",3
"FAM102B","FAM102B",3
"FAM134C","FAM134C",3
"FAM159B","FAM159B",3
"FAM161B","FAM161B",3
"FAM193A","FAM193A",3
"FAM20A","FAM20A",3
"FAM213B","FAM213B",3
"FAM65A","FAM65A",3
"FAM86FP","FAM86FP",3
"FAM87B","FAM87B",3
"FAXDC2","FAXDC2",3
